Year,Month,World,Education,Home & Garden,Great Homes & Destinations,Science,The Learning Network,Giving,Obituaries,Theater,Universal,Arts,The Upshot,Front Page,Real Estate,Corrections,Automobiles,International Home,Times Insider,"Great Homes, Destinations",Opinion,Books,Travel,Blogs,Food,Fashion & Style,Briefing,U.S.,Magazine,Crosswords & Games,Technology,Podcasts,Health,Movies,NYT Now,National,Multimedia,Unknown,N.Y. / Region,Sunday Review,Watching,Booming,Your Money,Times Topics,Dining & Wine,Business,Public Editor,T:Style,Washington,Well,Open,Sports,T Magazine,Week in Review,Job Market,New York
2014,3,30.18372703,21.42857143,74.35897436,81.81818182,25,,,,23.80952381,0,34.169279,,,63.38028169,,4.109589041,50,,55.55555556,21.8556701,36.42857143,52.94117647,,70.96774194,49.5049505,,31.29370629,26.43678161,7.352941176,23.4939759,,55.46875,32.93413174,,0,50,40.54054054,40.33970276,50,,,45.65217391,,,27.3957159,0,46.15384615,,,0,13.95730706,42.10526316,,37.5,
2014,4,34.12587413,32,70,76.92307692,33.33333333,,,,17.5,,35.98774885,21.12676056,,62.71186441,,13.51351351,,,57.14285714,18.01619433,42.51968504,66.25,50,62.79069767,49.29577465,,32.55813953,31.94444444,7.272727273,25.41436464,,59.25925926,30.06535948,,,57.74647887,48.9010989,37.26851852,50,,,39.28571429,,,28.23129252,0,24.56140351,,,33.33333333,13.76811594,25,,42.85714286,
2014,5,30.62583222,21.42857143,68,76.47058824,23.4375,,,,20.48192771,,33.57245337,21.83908046,,61.40350877,,5.405405405,,,50,22.1719457,33.08823529,63.41463415,46.15384615,37.39130435,42.67515924,,32.13114754,43.93939394,6.779661017,20.9039548,,51.35135135,21.31147541,,,55.55555556,42.38410596,35.71428571,33.33333333,,,41.66666667,,,28.88318357,0,43.20987654,,,,17.17171717,47.05882353,,42.85714286,
2014,6,26.50429799,20,69.04761905,61.11111111,33.96226415,,,,18.98734177,,34.26791277,28.66242038,,68.65671642,,10.38961039,,,,28.19548872,43.94904459,66.66666667,16.66666667,63.33333333,45.6043956,,32.56880734,26.66666667,8.928571429,27.89115646,,53.63636364,31.05590062,,,45.16129032,32.91925466,41.03773585,16.66666667,,,39.39393939,,,28.29949239,0,40.625,,,0,17.99450549,57.89473684,,37.5,
2014,7,32.99270073,50,65.38461538,63.63636364,34.17721519,,,0,25.28735632,,29.60413081,19.71830986,,63.33333333,,6.578947368,,,,27.16535433,33.60655738,68.23529412,,59.70149254,56.89655172,,30.86642599,41.89189189,7.142857143,37.66233766,,50.87719298,29.26829268,,,25.92592593,31.09756098,40.36697248,57.14285714,,,44.44444444,,100,30.90024331,,56.62650602,,,0,13.95833333,50,,16.66666667,
2014,8,28.48392037,58.82352941,58.97435897,66.66666667,36.92307692,,,100,20.58823529,,34.42622951,22.12389381,,63.01369863,,5.797101449,,,,23.86363636,44.21768707,63.20754717,0,55.10204082,49.68152866,,35.70190641,28.75,6.896551724,36.56716418,,55,29.03225806,,,27.5862069,38.38862559,40,62.5,,,29.41176471,,,32.46753247,0,48.05194805,,,0,15.86956522,33.33333333,,42.85714286,
2014,9,32.13256484,33.33333333,70,64.70588235,31.76470588,,,,30.86419753,,28.18035427,21.77419355,,60.71428571,,9.836065574,,100,,23.93364929,38.26086957,67.04545455,50,56.14035088,55.70175439,,32.73056058,39.0625,10.52631579,32.59668508,,47.05882353,26.66666667,,,25,46.09571788,40.71588367,22.22222222,,,43.75,,,29.6010296,0,,,,100,14.16837782,51.61290323,,16.66666667,
2014,10,29.23728814,40,58.82352941,81.81818182,32.5,,,100,15.29411765,,30.58823529,27.74193548,,62.16216216,,9.411764706,,,,25.51252847,38.51851852,70.93023256,66.66666667,61.11111111,43.53741497,,33.08270677,26.41509434,7.142857143,26.2295082,,42.85714286,30.76923077,,,52.94117647,34.01797176,42.55319149,40,,,41.66666667,,,33.03225806,0,,,,100,13.9959432,59.25925926,,25,
2014,11,24.87562189,47.61904762,70.45454545,71.42857143,35.06493506,,27.27272727,,19.51219512,,29.46593002,24.16107383,,59.49367089,,5.405405405,,,,21.96261682,39.41176471,65.59139785,50,61.53846154,44.44444444,,37.40573152,28.07017544,7.843137255,33.08270677,,55.68181818,33.33333333,,,40,31.08384458,38.24884793,50,,,32.5,,,29.57746479,0,,,,,12.6984127,46.42857143,,50,100
2014,12,26.25368732,30.76923077,67.39130435,57.14285714,30.55555556,,,0,27.27272727,0,31.34328358,18.3908046,,55.17241379,,8.510638298,,,,22.08436725,46.91358025,65.06024096,100,69.81132075,44.91017964,,33.14500942,26.47058824,10.90909091,34.45945946,,45.34883721,31.09243697,0,,28.125,30.84479371,41.54175589,62.5,,,36.66666667,,,28.42261905,0,,,,0,12.12121212,35.29411765,,50,
